album,song_title,lyric
Lover,Lover ,[Verse 1]
Lover,Lover ,We could leave the Christmas lights up 'til January
Lover,Lover ,"And this is our place, we make the rules"
Lover,Lover ,"And there's a dazzling haze, a mysterious way about you, dear"
Lover,Lover ,Have I known you 20 seconds or 20 years?
Lover,Lover ,[Chorus]
Lover,Lover ,Can I go where you go?
Lover,Lover ,Can we always be this close?
Lover,Lover ,"Forever and ever, ah"
Lover,Lover ,"Take me out, and take me home"
Lover,Lover ,"You're my, my, my, my lover"
Lover,Lover ,[Verse 2]
Lover,Lover ,We could let our friends crash in the living room
Lover,Lover ,"This is our place, we make the call"
Lover,Lover ,And I'm highly suspicious that everyone who sees you wants you
Lover,Lover ,"I've loved you three summers now, honey, but I want 'em all"
Lover,Lover ,[Chorus]
Lover,Lover ,Can I go where you go?
Lover,Lover ,Can we always be this close?
Lover,Lover ,"Forever and ever, ah"
Lover,Lover ,"Take me out, and take me home (Forever and ever)"
Lover,Lover ,"You're my, my, my, my lover"
Lover,Lover ,[Bridge]
Lover,Lover ,"Ladies and gentlemen, will you please stand?"
Lover,Lover ,With every guitar string scar on my hand
Lover,Lover ,I take this magnetic force of a man to be my lover
Lover,Lover ,My heart's been borrowed and yours has been blue
Lover,Lover ,All's well that ends well to end up with you
Lover,Lover ,Swear to be overdramatic and true to my lover
Lover,Lover ,And you'll save all your dirtiest jokes for me
Lover,Lover ,"And at every table, I'll save you a seat, lover"
Lover,Lover ,[Chorus]
Lover,Lover ,Can I go where you go?
Lover,Lover ,Can we always be this close?
Lover,Lover ,"Forever and ever, ah"
Lover,Lover ,"Take me out, and take me home (Forever and ever)"
Lover,Lover ,"You're my, my, my, my"
Lover,Lover ,"Oh, you're my, my, my, my"
Lover,Lover ,"Darling, you're my, my, my, my lover"
reputation,Look What You Made Me Do ,[Verse 1]
reputation,Look What You Made Me Do ,I don't like your little games
reputation,Look What You Made Me Do ,Don't like your tilted stage
reputation,Look What You Made Me Do ,The role you made me play
reputation,Look What You Made Me Do ,"Of the fool, no, I don't like you"
reputation,Look What You Made Me Do ,I don't like your perfect crime
reputation,Look What You Made Me Do ,How you laugh when you lie
reputation,Look What You Made Me Do ,You said the gun was mine
reputation,Look What You Made Me Do ,"Isn't cool, no, I don't like you (Oh)"
reputation,Look What You Made Me Do ,[Pre-Chorus]
reputation,Look What You Made Me Do ,"But I got smarter, I got harder in the nick of time"
